Cust_No,Target,Birth_Place,Gender,Age,Ast_Curr_Bal,Std_Cred_Limit,Loan_Curr_Bal,ZX_Max_Account_Number,ZX_Max_Link_Banks,ZX_Max_Overdue_Account,ZX_Link_Max_Overdue_Amount,ZX_Total_Overdu_Months,ZX_Max_Overdue_Duration,ZX_Max_Credits,ZX_Max_Credit_Banks,ZX_Max_Overdue_Credits,ZX_Credit_Max_Overdu_Amount,ZX_Credit_Total_Overdue_Months,ZX_Credit_Max_Overdue_Duration
2166,0,330621,1,42,312.43,50000,2000000,8,6,3,10463,16,2,5,4,0,0,0,0
2167,0,330621,1,58,54557.04,3000,400000,7,4,2,984,3,1,3,3,1,2559,2,1
2168,0,330622,0,53,40047.58,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
2169,0,330621,1,44,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
2170,0,432930,0,37,307.79,20000,600000,2,2,2,0,6,1,1,1,0,0,0,0
2171,0,330623,1,62,21804.42,20000,0,6,4,3,2711,4,1,2,2,1,7189,8,1
2172,0,330621,1,49,827.62,5000,116885.32,3,3,1,259,2,1,0,0,0,0,0,0
2173,0,330621,1,45,353.73,10000,200000,2,2,0,0,0,0,5,2,0,0,0,0
2174,0,320826,0,36,0,5000,0,6,4,2,0,2,1,0,0,0,0,0,0
2175,0,330621,0,35,88785.01,60000,0,11,7,1,0,2,1,2,2,1,8782,6,1
2176,0,330621,1,39,135.16,10000,100000,1,1,1,0,1,1,0,0,0,0,0,0
2177,0,330621,1,30,15238.99,20000,52450.21,4,4,3,8710,7,2,4,4,1,0,1,1
2178,0,330621,1,52,583.52,20000,0,7,4,2,65,2,1,2,2,0,0,0,0
2179,0,330621,1,49,113.12,5000,200000,1,1,0,0,0,0,2,2,0,0,0,0
2180,0,330621,0,49,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
2181,0,330621,1,31,92366.8,50000,0,0,0,0,0,0,0,0,0,0,0,0,0
2182,0,330621,1,38,10302.54,40000,1000000,15,10,2,133,6,3,6,6,0,0,0,0
2183,0,330602,1,46,148.08,20000,800000,4,3,0,0,0,0,1,1,0,0,0,0
2184,0,330621,1,26,241.62,5000,60000,15,6,1,0,1,1,6,6,0,0,0,0
2185,0,330621,1,42,2493.91,20000,3200000,12,7,1,231,8,1,3,3,0,0,0,0
2186,0,330621,0,54,475.29,20000,0,2,2,0,0,0,0,0,0,0,0,0,0
2187,0,330621,1,30,4692.03,30000,0,6,5,1,0,1,1,2,2,0,0,0,0
2188,0,330621,1,39,103.61,20000,150000,4,4,0,0,0,0,0,0,0,0,0,0
2189,1,330621,0,56,6.45,20000,0,3,2,2,1435,2,1,1,1,1,1692,1,1
2190,0,330621,1,33,816.11,5000,300000,3,2,3,31,8,1,3,3,2,4165,2,2
2191,0,330621,1,39,654.38,10000,180000,7,3,3,628,4,1,1,1,0,0,0,0
2192,0,330621,1,48,1276.49,10000,0,7,3,2,10670,5,1,3,2,3,1840,2,1
2193,0,330621,1,54,431.6,8000,400000,2,2,0,0,0,0,1,1,0,0,0,0
2194,0,330621,1,46,1289.83,20000,0,4,3,2,1162,3,1,1,1,0,0,0,0
