Cust_No,Target,Birth_Place,Gender,Age,Ast_Curr_Bal,Std_Cred_Limit,Loan_Curr_Bal,ZX_Max_Account_Number,ZX_Max_Link_Banks,ZX_Max_Overdue_Account,ZX_Link_Max_Overdue_Amount,ZX_Total_Overdu_Months,ZX_Max_Overdue_Duration,ZX_Max_Credits,ZX_Max_Credit_Banks,ZX_Max_Overdue_Credits,ZX_Credit_Max_Overdu_Amount,ZX_Credit_Total_Overdue_Months,ZX_Credit_Max_Overdue_Duration
0,0,330621,1,41,1.82,5000,0,0,0,1,8,1,1,0,0,0,0,0,0
1,0,330621,1,41,907.72,15000,900000,2,2,1,0,3,1,2,1,0,0,0,0
2,0,330621,1,55,523.32,10000,560000,2,2,1,0,2,1,1,1,0,0,0,0
3,0,330621,1,41,4812.88,20000,1060000,1,1,0,0,0,0,1,1,0,0,0,0
4,0,330621,0,40,2305.25,20000,0,4,4,0,0,0,0,0,0,0,0,0,0
5,0,330621,1,57,9084.16,20000,0,3,3,1,0,3,1,2,2,1,13964,15,1
6,0,330621,1,45,17299.71,20000,1350000,9,5,1,23,3,1,2,2,0,0,0,0
7,0,330421,0,32,122.24,20000,120000,12,3,1,1,3,1,1,1,0,0,0,0
8,0,330621,0,46,91.82,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,330621,0,35,19.46,10000,320000,1,1,0,0,0,0,20,2,0,0,0,0
10,0,330621,1,46,438.59,4000,300000,6,4,2,519,3,1,1,1,0,0,0,0
11,1,330621,0,39,0.45,50000,0,19,9,9,23698,9,2,11,4,3,10918,9,4
12,0,330621,1,37,453.82,10000,600000,10,9,6,2151,40,2,1,1,0,0,0,0
13,0,330621,1,54,343.74,5000,260000,4,3,0,0,0,0,7,4,0,0,0,0
14,0,330621,1,45,220.5,20000,0,6,4,3,6379,33,1,1,1,2,4582,3,1
15,0,330621,0,31,804.46,10000,0,3,2,1,0,1,1,0,0,0,0,0,0
16,0,522323,0,40,0,20000,0,5,4,0,0,0,0,0,0,0,0,0,0
17,0,330621,1,42,712.52,10000,0,4,3,2,495,6,1,1,1,0,0,0,0
18,0,330621,1,39,882.15,10000,200000,5,4,2,0,2,1,2,2,1,3474,2,1
19,0,330621,1,28,27.54,20000,100000,4,3,1,0,1,1,3,3,0,0,0,0
20,0,330621,1,55,260.25,20000,600000,1,1,1,1419,6,1,1,1,0,0,0,0
21,0,330621,1,52,1108.41,5000,0,1,1,0,0,0,0,0,0,0,0,0,0
22,0,330183,0,35,17114.65,20000,0,2,2,0,0,0,0,0,0,0,0,0,0
23,0,330621,1,43,310.23,5000,200000,2,2,2,2,20,2,2,2,0,0,0,0
24,0,330621,1,44,58775.93,15000,46436.99,7,6,1,176,4,2,0,0,0,0,0,0
25,0,330621,0,30,1318.01,10000,250000,7,5,2,200,4,1,1,1,0,0,0,0
26,0,330621,1,59,1482.57,5000,120000,0,0,0,0,0,0,1,1,0,0,0,0
27,0,330621,1,44,703.29,20000,400000,4,3,1,66,0,0,2,2,1,1,1,1
28,0,330621,1,50,821.28,20000,320000,6,4,3,197,12,1,4,4,0,0,0,0
29,0,411322,1,27,0,5000,0,4,2,0,0,0,0,0,0,0,0,0,0
30,0,330621,1,55,74.81,20000,480000,4,3,1,803,4,1,2,2,1,15491,0,0
31,0,330621,1,47,684.32,10000,0,0,0,0,0,0,0,0,0,1,1,9,7
32,0,330621,1,40,9993.97,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,330621,1,43,53820.27,10000,246250,0,0,0,0,0,0,0,0,0,0,0,0
34,0,330621,1,40,116.03,20000,200000,6,4,2,188,3,1,3,3,0,0,0,0
35,0,330621,0,42,42.64,10000,55203.49,4,3,0,0,0,0,1,1,0,0,0,0
36,0,330621,0,37,105070.55,5000,200000,7,5,5,7441,42,1,3,3,0,0,0,0
37,0,330621,1,49,195.02,5000,250000,3,3,1,0,1,1,2,2,0,0,0,0
38,0,330621,1,46,256.77,20000,400000,9,5,0,0,0,0,1,1,0,0,0,0
39,0,330621,1,41,1340.09,20000,1600000,2,2,0,0,0,0,1,1,0,0,0,0
40,1,330621,1,43,7.53,5000,290000,5,3,3,1505,13,5,1,1,0,0,0,0
41,0,330621,0,35,0,15000,0,7,6,0,0,0,0,0,0,0,0,0,0
42,0,330621,1,26,20.91,5000,0,4,3,0,0,0,0,0,0,0,0,0,0
43,0,330621,0,24,12103.8,10000,182568.88,9,7,0,0,0,0,2,2,0,0,0,0
44,0,330621,0,28,198.57,10000,338199.17,5,4,2,1430,4,1,1,1,0,0,0,0
45,0,330621,1,49,1436.22,10000,0,1,1,0,0,0,0,0,0,0,0,0,0
46,0,330621,1,43,1156.61,10000,300000,2,2,0,0,0,0,2,2,0,0,0,0
47,0,330602,1,31,134517.25,10000,400000,5,3,1,0,2,1,2,2,1,695575,30,3
48,0,330621,1,48,287.95,10000,300000,3,3,2,683,8,3,3,2,2,2680,18,1
49,0,330621,0,50,395.44,10000,0,1,1,0,0,0,0,4,2,0,0,0,0
50,0,330621,1,53,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,330149,0,48,0.08,10000,0,2,2,0,0,0,0,0,0,0,0,0,0
52,0,330621,1,49,9563.91,20000,1500000,3,2,0,0,0,0,3,2,0,0,0,0
53,0,330621,1,38,0,20000,0,9,4,3,7151,28,3,0,0,0,0,0,0
54,0,330621,1,49,563.41,10000,200000,4,3,0,0,0,0,1,1,0,0,0,0
55,0,360121,1,53,1496.44,15000,500000,5,3,0,0,0,0,1,1,0,0,0,0
56,0,330621,1,34,119.99,20000,450000,8,6,5,26007,12,2,4,3,1,10570,6,3
57,0,330621,1,45,18.38,10000,800000,4,3,3,34255,44,7,1,1,1,6567,0,0
58,0,330621,1,44,433.07,20000,250000,2,2,0,0,0,0,1,1,0,0,0,0
59,0,330621,1,37,1.95,10000,0,7,5,2,4504,7,3,1,1,0,0,0,0
60,0,330621,1,56,64.82,10000,100000,1,1,1,529,2,1,1,1,0,0,0,0
61,0,330621,1,36,371.83,5000,300000,2,2,0,0,0,0,1,1,0,0,0,0
62,0,330621,1,56,0,20000,0,7,6,2,592,1,1,3,3,0,0,0,0
63,0,330102,0,41,254.83,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,330621,1,50,2397.12,20000,1600000,5,3,1,200,2,1,3,2,0,0,0,0
65,0,330621,0,31,68.79,10000,0,3,3,0,0,0,0,0,0,0,0,0,0
66,0,330621,0,43,208.42,10000,0,8,5,4,2355,11,3,1,1,1,0,2,1
67,0,330621,1,51,3171.91,10000,0,3,2,2,1936,18,3,1,1,0,0,0,0
68,0,330621,1,38,422.2,20000,300000,7,4,1,0,2,2,3,3,0,0,0,0
69,0,330621,0,56,1761,10000,0,1,1,0,0,0,0,0,0,0,0,0,0
70,0,330621,1,35,5633.44,20000,300000,3,3,3,913,4,1,1,1,0,0,0,0
71,1,330621,1,56,1120.24,15000,800000,6,5,4,29692,32,6,4,3,4,62898,64,7
72,0,330621,0,46,0.33,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,330621,1,47,10328.03,100,150000,8,5,0,0,0,0,4,2,1,1537,1,1
74,0,220881,0,51,39002.5,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,330621,0,34,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,330683,0,33,65.65,20000,0,21,13,5,3259,7,1,23,6,0,0,0,0
77,0,330621,1,45,183.53,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,330621,1,39,903.22,10000,0,1,1,0,0,0,0,0,0,0,0,0,0
79,0,330602,0,34,0.4,13000,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,330621,1,33,0.09,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,330621,1,27,1.75,10000,0,0,0,0,0,0,0,1,1,0,0,0,0
82,0,330621,1,40,56.84,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,330621,1,25,67.28,10000,18470.18,4,4,0,0,0,0,2,2,0,0,0,0
84,0,330621,1,34,46.91,20000,0,6,6,0,0,0,0,1,1,0,0,0,0
85,0,330621,1,24,1041.5,10000,9908.56,3,2,0,0,0,0,2,2,0,0,0,0
86,0,330621,1,65,8825.59,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,330621,1,69,49.8,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,362323,1,41,5.56,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,330621,0,30,1911.1,20000,0,6,4,1,0,1,1,0,0,0,0,0,0
90,0,330621,1,37,1111.83,10000,100000,19,12,4,5222,5,1,6,5,0,0,0,0
91,0,330621,0,38,710382.27,20000,0,8,6,2,730,3,1,1,1,1,0,2,1
92,0,330621,1,26,2883.29,10000,0,3,2,0,0,0,0,0,0,0,0,0,0
93,0,330621,1,46,79.85,15000,0,9,7,1,334,4,1,0,0,0,0,0,0
94,0,330621,1,31,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,330621,1,34,27879.1,10000,0,3,3,1,0,1,1,1,1,0,0,0,0
96,0,339011,1,44,48.97,15000,0,12,8,2,437,2,1,0,0,0,0,0,0
97,0,330621,1,46,277.61,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,330621,0,52,4212.14,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,330621,0,37,2197844.03,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,330621,0,31,0.03,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,330782,1,32,0,20000,0,13,10,10,4362,39,3,1,1,0,0,0,0
102,0,339005,1,25,3095.54,15000,5315.61,4,3,0,0,0,0,1,1,0,0,0,0
103,0,432322,0,53,69.54,20000,0,25,11,3,1068,4,1,1,1,0,0,0,0
104,0,330621,0,27,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,342201,1,34,0,10000,0,15,9,2,2086,5,1,4,3,1,4747,1,1
106,0,330621,1,31,106.57,10000,0,16,10,7,10814,13,1,9,2,1,5000,2,1
107,0,330602,1,25,5.79,8000,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,330621,1,28,524.78,15000,0,3,3,2,1342,3,1,0,0,0,0,0,0
109,0,330621,1,52,110.83,10000,100000,10,6,4,1282,5,1,2,2,0,0,0,0
110,0,330621,0,35,32852.65,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,330621,1,45,0,20000,0,7,5,3,1297,4,1,0,0,0,0,0,0
112,0,330621,1,47,137908.49,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,330621,0,36,106.91,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,330621,0,31,0,5000,0,16,7,10,6378,56,5,0,0,0,0,0,0
115,0,330602,1,54,5133.34,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,330621,1,23,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,330621,1,48,256992.35,10000,0,2,2,1,33,1,1,0,0,0,0,0,0
118,0,330602,1,21,0.24,3000,0,4,2,0,0,0,0,0,0,0,0,0,0
119,0,330621,1,35,13761.55,10000,0,4,3,0,0,0,0,0,0,0,0,0,0
120,0,341004,0,39,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,330621,0,31,2080.21,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,330621,0,54,16616.76,15000,0,6,4,1,89,1,1,0,0,0,0,0,0
123,0,330621,1,25,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,330621,1,26,516.62,10000,150000,3,3,0,0,0,0,1,1,0,0,0,0
125,0,330621,1,39,7950.74,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,330621,1,29,5002.29,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,320829,1,47,761.44,20000,0,1,1,0,0,0,0,1,1,0,0,0,0
128,0,330621,0,25,12.19,10000,0,3,2,0,0,0,0,0,0,0,0,0,0
129,0,350582,0,43,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,330621,1,21,0.25,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
131,0,330621,0,29,49311.05,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,330323,1,45,2045.04,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,330602,0,35,305.48,10000,100000,24,14,9,721,6,1,1,1,0,0,0,0
134,0,330621,0,27,2904.78,5000,6779.41,8,5,4,497,12,2,1,1,0,0,0,0
135,0,330621,1,40,0.52,10000,0,1,1,0,0,0,0,0,0,0,0,0,0
136,0,339005,0,28,0.45,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,330621,1,38,163.7,10000,38769.6,9,7,6,3384,12,1,1,1,0,0,0,0
138,0,332526,0,42,0,15000,0,4,3,0,0,0,0,3,3,0,0,0,0
139,1,330621,0,27,99.12,20000,39073.42,14,10,10,20367,13,4,13,4,12,2437,7,1
140,0,330621,1,25,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,330621,1,32,0.98,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,330621,0,52,0,27000,0,1,1,1,2060,2,1,0,0,0,0,0,0
143,0,330602,1,25,0.69,10000,0,4,4,0,0,0,0,1,1,0,0,0,0
144,0,341122,1,37,0,5000,0,1,1,0,0,0,0,0,0,0,0,0,0
145,0,330621,1,31,0,8000,0,7,6,4,743,4,1,2,2,0,0,0,0
146,0,330621,1,30,44.98,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,330681,0,29,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0,330623,0,43,3045.15,8000,0,3,3,0,0,0,0,0,0,0,0,0,0
149,0,330621,0,32,2178.82,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,330621,1,48,777.59,20000,0,3,3,1,176,1,1,1,1,0,0,0,0
151,0,330621,0,54,12130.7,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,330621,0,31,165001.01,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,330621,0,33,113509.84,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,330621,1,35,851.15,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,330621,0,34,60.6,4000,0,1,1,1,279,12,2,0,0,0,0,0,0
156,0,330621,1,28,22.01,15000,0,9,6,0,0,0,0,0,0,0,0,0,0
157,0,330421,0,27,31.34,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,330726,1,35,25.84,4000,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,330621,1,29,0.16,5000,0,1,1,0,0,0,0,0,0,0,0,0,0
160,0,330621,1,28,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0,330621,1,37,107.33,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
162,0,330621,1,34,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
163,0,330621,1,51,738.68,20000,0,5,2,0,0,0,0,2,1,0,0,0,0
164,0,330621,1,25,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,330621,1,22,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
166,0,330621,1,32,1541913.98,50000,0,0,0,0,0,0,0,0,0,0,0,0,0
167,0,330602,1,36,20.47,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
168,0,330621,1,42,3400,20000,360000,3,2,2,23,6,1,4,3,1,4059,10,1
169,0,330621,0,45,205.44,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,330681,0,36,0.1,20000,0,11,6,0,0,0,0,0,0,0,0,0,0
171,0,330621,1,26,7026.74,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,330621,1,29,975.3,20000,30000,6,5,3,801,4,1,0,0,0,0,0,0
173,0,330621,1,22,21.86,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,330621,1,28,0,10000,0,1,1,0,0,0,0,0,0,0,0,0,0
175,0,330621,1,33,60635.92,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,330621,1,31,66.38,10000,0,1,1,0,0,0,0,0,0,0,0,0,0
177,0,330621,0,37,94.05,20000,0,12,7,4,322,7,2,0,0,0,0,0,0
178,0,330621,1,35,72319.5,20000,0,13,8,0,0,0,0,1,1,0,0,0,0
179,0,330621,1,24,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,330621,1,34,50.21,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,330621,1,46,984.41,20000,0,7,4,0,0,0,0,1,1,0,0,0,0
182,0,330621,0,36,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0,330621,0,22,830.12,4000,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,330621,0,26,10004.57,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
185,0,330621,1,26,0.49,20000,0,1,1,0,0,0,0,0,0,0,0,0,0
186,0,330621,1,45,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0
187,0,330621,1,39,0.01,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,330621,1,32,0.1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,330682,0,29,1.52,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0,330121,1,46,26.64,20000,0,3,3,1,67,1,1,2,1,0,0,0,0
191,0,420984,0,30,69.08,5000,0,6,6,1,1,2,1,1,1,0,0,0,0
192,0,330621,0,39,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,330602,1,43,2267.28,30000,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,330127,0,36,1.4,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0,330621,0,30,110.79,10000,0,2,2,1,80,1,1,0,0,0,0,0,0
196,0,330602,0,43,0,10000,0,11,7,4,1263,9,1,1,1,1,2425,5,1
197,0,330621,1,36,23.74,8000,0,0,0,0,0,0,0,0,0,0,0,0,0
198,0,330621,1,28,595.25,20000,0,11,9,2,0,5,2,0,0,0,0,0,0
199,0,330621,1,57,15304.39,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,330621,1,43,43.8,5000,0,1,1,1,0,1,1,0,0,0,0,0,0
201,0,330621,1,34,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
202,0,330621,1,54,15.25,10000,69694.28,4,2,0,0,0,0,1,1,0,0,0,0
203,0,420984,1,24,1.87,10000,0,4,4,0,0,0,0,2,1,0,0,0,0
204,0,330681,0,37,0.59,100,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,330621,1,29,241.95,3000,0,4,3,0,0,0,0,0,0,0,0,0,0
206,0,330621,0,40,2191.71,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
207,0,330621,1,52,30307.29,10000,480000,3,2,1,172,8,1,1,1,0,0,0,0
208,0,330621,0,72,111.83,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,331081,1,30,10.26,30000,8000000,8,6,0,0,0,0,1,1,0,0,0,0
210,0,330621,0,29,1039.97,10000,0,5,4,0,0,0,0,1,1,0,0,0,0
211,0,330621,1,31,224.34,15000,200000,10,9,1,118,1,1,6,6,0,0,0,0
212,0,330621,1,50,1.9,20000,0,10,7,2,2569,7,1,2,2,0,0,0,0
213,0,330621,1,27,9.93,5000,6154.65,8,5,2,612,7,2,2,2,0,0,0,0
214,0,330621,0,44,15885.17,20000,490042.08,0,0,0,0,0,0,0,0,0,0,0,0
215,0,330621,1,49,354.34,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
216,0,330602,0,25,0.02,10000,0,4,3,3,308,5,1,0,0,0,0,0,0
217,0,330621,1,24,1682.83,3500,0,1,1,0,0,0,0,0,0,0,0,0,0
218,0,411381,1,37,35.1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
219,0,341225,1,34,62.39,50000,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,330621,1,55,91.2,10000,90000,3,3,1,71,1,1,1,1,0,0,0,0
221,0,330621,1,31,0.05,20000,0,3,2,0,0,0,0,0,0,0,0,0,0
222,0,330602,1,55,0,8000,0,1,1,0,0,0,0,0,0,0,0,0,0
223,0,330621,1,29,0,15000,0,8,5,0,0,0,0,1,1,0,0,0,0
224,0,511526,1,28,352.56,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
225,0,330621,1,30,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
226,0,330621,1,45,0,10000,0,1,1,0,0,0,0,0,0,0,0,0,0
227,0,330602,1,52,50.25,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
228,0,330621,1,48,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
229,1,330621,0,29,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0
230,0,330124,1,42,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
231,0,330621,1,37,513.75,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
232,1,330621,1,27,17.4,5000,50000,7,6,0,0,0,0,1,1,0,0,0,0
233,0,330681,0,35,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
234,0,330621,0,41,0,10000,0,14,5,2,0,2,1,1,1,0,0,0,0
235,0,330621,1,27,0.61,8000,0,0,0,0,0,0,0,0,0,0,0,0,0
236,0,330621,0,41,93.43,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
237,0,330621,1,40,4813.13,10000,0,2,2,0,0,0,0,0,0,0,0,0,0
238,0,330621,0,24,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
239,0,330602,1,26,675.78,10000,0,1,1,0,0,0,0,1,1,0,0,0,0
240,0,330621,1,53,1176.65,30000,500000,4,2,1,4,1,1,1,1,0,0,0,0
241,0,330621,0,33,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0
242,0,330602,0,28,0,10000,50000,19,9,2,1849,2,1,1,1,0,0,0,0
243,0,330623,0,39,891.76,20000,0,5,4,0,0,0,0,0,0,0,0,0,0
244,0,332528,1,31,250048.99,20000,0,2,1,0,0,0,0,0,0,0,0,0,0
245,0,330621,1,39,316.5,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
246,0,362321,1,28,261.57,3000,0,0,0,0,0,0,0,1,1,0,0,0,0
247,0,330602,1,27,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0
248,0,330621,1,35,8.86,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
249,0,330621,1,30,63.94,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,330621,1,23,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
251,0,330621,1,39,0,20000,0,9,6,3,0,7,1,1,1,0,0,0,0
252,0,330621,1,23,3.4,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
253,0,330621,1,37,1379.59,0,0,14,8,5,1971,14,1,0,0,0,0,0,0
254,0,330702,1,37,150189.96,20000,1400000,8,5,2,237,35,1,6,4,1,0,7,1
255,0,410727,1,61,7107.4,30000,0,10,7,7,4747,19,1,2,2,1,11493,1,1
256,0,330621,0,42,399.55,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
257,0,330621,1,26,0,5000,0,2,2,0,0,0,0,1,1,0,0,0,0
258,0,330621,0,27,4.79,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
259,0,330621,0,39,4119.76,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
260,0,330621,0,26,76059.6,8000,341249.99,1,1,0,0,0,0,0,0,0,0,0,0
261,0,330621,1,46,455.81,10000,0,3,2,2,100,3,1,0,0,0,0,0,0
262,0,340822,0,32,3325.6,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
263,0,330621,1,39,0,8000,0,1,1,0,0,0,0,0,0,0,0,0,0
264,0,330621,1,48,0.09,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
265,0,330621,1,29,334.55,20000,0,4,2,0,0,0,0,0,0,0,0,0,0
266,0,330602,0,48,169649.98,100,0,0,0,0,0,0,0,0,0,0,0,0,0
267,0,330325,0,42,0.88,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
268,0,330602,0,54,119.1,20000,100000,13,9,0,0,0,0,1,1,0,0,0,0
269,0,330621,1,29,1070.11,15000,0,2,1,0,0,0,0,0,0,0,0,0,0
270,0,330621,0,28,100208.89,12000,0,2,2,0,0,0,0,0,0,0,0,0,0
271,0,330621,1,36,131.52,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
272,0,330621,1,28,372.23,10000,38073.95,7,6,4,1980,4,1,12,3,0,0,0,0
273,0,330602,1,48,147.76,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
274,0,330621,1,28,0,8000,0,2,2,2,64,6,2,0,0,0,0,0,0
275,0,330282,1,47,5100.62,27000,0,1,1,0,0,0,0,0,0,1,32072,12,2
276,0,330621,0,29,1.85,6000,0,0,0,0,0,0,0,0,0,0,0,0,0
277,0,330621,0,30,440.47,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
278,0,330621,1,32,110.44,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
279,0,330602,1,35,15779.11,20000,0,8,6,0,0,0,0,0,0,0,0,0,0
280,0,330621,1,24,2.2,5000,0,1,1,0,0,0,0,0,0,0,0,0,0
281,0,331081,1,34,1538.67,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
282,0,330425,0,36,1336.37,20000,0,15,8,0,0,0,0,0,0,0,0,0,0
283,0,330621,1,33,80.29,10000,600000,10,8,2,990,10,1,2,2,0,0,0,0
284,0,330602,1,61,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0
285,0,330621,1,28,19.81,15000,0,0,0,0,0,0,0,0,0,0,0,0,0
286,0,511527,1,32,782.2,20000,595287.18,3,3,0,0,0,0,1,1,0,0,0,0
287,0,330621,1,26,41.64,10000,0,10,8,4,413,9,2,2,1,2,812,3,1
288,0,330602,0,40,6139.8,30000,0,7,5,0,0,0,0,1,1,0,0,0,0
289,0,330602,1,38,85.73,20000,183393.45,24,9,1,0,1,1,8,5,1,21779,5,1
290,0,330602,1,32,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
291,0,330621,0,26,0.93,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
292,0,330602,1,31,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
293,0,450821,0,32,113.67,15000,352354.89,1,1,0,0,0,0,1,1,0,0,0,0
294,0,330602,1,30,0,20000,0,2,1,0,0,0,0,0,0,0,0,0,0
295,0,330621,1,37,61.41,20000,600000,6,4,2,737,2,1,1,1,0,0,0,0
296,0,330621,1,47,7654.84,20000,0,8,6,4,14265,7,1,6,3,7,5106051,5,2
297,0,330621,1,33,0,10000,0,11,8,0,0,0,0,4,3,0,0,0,0
298,0,330682,1,39,3.51,20000,0,4,3,1,1402,3,1,1,1,1,0,1,1
299,0,330523,0,32,47776.23,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,330621,0,38,1811.9,20000,250000,5,4,0,0,0,0,1,1,0,0,0,0
301,0,342531,0,38,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
302,0,640202,1,50,3017.84,10000,0,4,3,3,3023,12,2,5,2,0,0,0,0
303,0,330621,0,29,8.75,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
304,0,330621,1,36,39.15,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
305,0,362424,1,48,746.15,20000,0,3,2,0,0,0,0,2,1,0,0,0,0
306,1,330602,1,33,2952.12,20000,0,16,8,1,1605,1,1,1,1,1,0,1,1
307,0,330621,1,55,400.52,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
308,0,330621,1,28,0,10000,0,15,5,0,0,0,0,1,1,0,0,0,0
